assembly_id, total_num_genes, num_amr_genes, num_amr_genes_inside_mge, num_amr_genes_outside_mge, percentage_of_amr_genes_inside_mge, num_duplicate_amr_genes, num_duplicate_amr_genes_inside_mge, num_duplicate_amr_genes_outside_mge, percentage_of_duplicate_amr_genes_inside_mge, percentage_of_duplicate_amr_genes_outside_mge
GCA_024766195.1,4808,50,11,39,22.0,0,0,0,0.0,0.0
GCA_024766215.1,4976,51,11,40,21.569,0,0,0,0.0,0.0
GCA_024766235.1,5058,52,11,41,21.154,0,0,0,0.0,0.0
GCA_024766255.1,5113,51,11,40,21.569,2,2,0,100.0,0.0
GCA_024766275.1,5214,43,0,43,0.0,0,0,0,0.0,0.0
GCA_024766295.1,5014,45,3,42,6.667,0,0,0,0.0,0.0
GCA_024766305.1,5360,55,13,42,23.636,0,0,0,0.0,0.0
GCA_024766335.1,5219,47,5,42,10.638,0,0,0,0.0,0.0
GCA_024766355.1,4980,45,3,42,6.667,0,0,0,0.0,0.0
GCA_024766375.1,4568,43,5,38,11.628,0,0,0,0.0,0.0
GCA_024766395.1,4588,44,4,40,9.091,0,0,0,0.0,0.0
GCA_024766415.1,5224,47,5,42,10.638,0,0,0,0.0,0.0
GCA_024766425.1,5101,52,10,42,19.231,0,0,0,0.0,0.0
GCA_024766445.1,5034,44,0,44,0.0,2,0,2,0.0,100.0
GCA_024766475.1,5078,50,9,41,18.0,0,0,0,0.0,0.0
GCA_024766495.1,4929,51,9,42,17.647,0,0,0,0.0,0.0
GCA_024766515.1,5278,46,5,41,10.87,0,0,0,0.0,0.0
GCA_024766525.1,5159,49,6,43,12.245,2,1,1,50.0,50.0
GCA_024766555.1,5076,52,13,39,25.0,0,0,0,0.0,0.0
GCA_024766565.1,4623,60,21,39,35.0,8,8,0,100.0,0.0
GCA_024766595.1,4621,61,24,37,39.344,10,10,0,100.0,0.0
GCA_024766615.1,4620,60,19,41,31.667,8,7,1,87.5,12.5
GCA_024766625.1,5123,47,5,42,10.638,0,0,0,0.0,0.0
GCA_024766645.1,5038,47,1,46,2.128,0,0,0,0.0,0.0
GCA_024766655.1,4575,43,3,40,6.977,0,0,0,0.0,0.0
GCA_024766795.1,5411,53,10,43,18.868,0,0,0,0.0,0.0
GCA_024766835.1,5017,54,13,41,24.074,0,0,0,0.0,0.0
GCA_024766875.1,4970,53,11,42,20.755,0,0,0,0.0,0.0
GCA_024766935.1,5401,53,9,44,16.981,0,0,0,0.0,0.0
GCA_024766995.1,5110,43,0,43,0.0,0,0,0,0.0,0.0
GCA_024767005.1,4941,52,11,41,21.154,0,0,0,0.0,0.0
GCA_024767095.1,4900,47,4,43,8.511,2,1,1,50.0,50.0
GCA_024767155.1,5108,49,4,45,8.163,0,0,0,0.0,0.0
GCA_024767165.1,5163,45,0,45,0.0,3,0,3,0.0,100.0
GCA_024767185.1,5158,52,12,40,23.077,0,0,0,0.0,0.0
GCA_024767235.1,5088,51,9,42,17.647,0,0,0,0.0,0.0
GCA_024767295.1,5638,47,3,44,6.383,0,0,0,0.0,0.0
GCA_024767315.1,5315,57,14,43,24.561,0,0,0,0.0,0.0
GCA_024767325.1,4882,51,9,42,17.647,2,0,2,0.0,100.0
GCA_024767365.1,5318,57,15,42,26.316,0,0,0,0.0,0.0
GCA_024767455.1,4607,54,15,39,27.778,2,2,0,100.0,0.0
GCA_024767495.1,4744,45,3,42,6.667,0,0,0,0.0,0.0
GCA_024767515.1,5013,44,5,39,11.364,2,2,0,100.0,0.0
GCA_024767595.1,4830,47,5,42,10.638,0,0,0,0.0,0.0
GCA_024767605.1,4933,52,7,45,13.462,4,2,2,50.0,50.0
GCA_024767635.1,4845,53,9,44,16.981,0,0,0,0.0,0.0
GCA_024767675.1,5103,48,1,47,2.083,2,0,2,0.0,100.0
GCA_024767715.1,4830,47,5,42,10.638,0,0,0,0.0,0.0
GCA_024767725.1,5110,48,1,47,2.083,2,0,2,0.0,100.0
GCA_024767755.1,5025,53,12,41,22.642,0,0,0,0.0,0.0
GCA_024767765.1,5003,43,0,43,0.0,0,0,0,0.0,0.0
GCA_024767795.1,5164,49,6,43,12.245,2,1,1,50.0,50.0
GCA_024767815.1,4940,52,12,40,23.077,0,0,0,0.0,0.0
GCA_024767835.1,4944,53,11,42,20.755,0,0,0,0.0,0.0
GCA_024767855.1,4718,43,0,43,0.0,2,0,2,0.0,100.0
GCA_024767875.1,5067,54,14,40,25.926,0,0,0,0.0,0.0
GCA_024767895.1,4797,52,12,40,23.077,0,0,0,0.0,0.0
GCA_024767915.1,4846,52,15,37,28.846,0,0,0,0.0,0.0
GCA_024767925.1,4539,45,6,39,13.333,0,0,0,0.0,0.0
GCA_024767935.1,5078,48,2,46,4.167,0,0,0,0.0,0.0
GCA_024767945.1,4984,50,9,41,18.0,0,0,0,0.0,0.0
GCA_024767995.1,4537,46,6,40,13.043,0,0,0,0.0,0.0
GCA_024768015.1,4624,50,10,40,20.0,0,0,0,0.0,0.0
GCA_024768025.1,5326,65,28,37,43.077,7,6,1,85.71428571428571,14.285714285714285
GCA_024768055.1,5452,54,6,48,11.111,5,3,2,60.0,40.0
GCA_024768075.1,5079,53,10,43,18.868,0,0,0,0.0,0.0
GCA_024768095.1,5100,53,11,42,20.755,0,0,0,0.0,0.0
GCA_024768115.1,5072,58,13,45,22.414,0,0,0,0.0,0.0
GCA_024768135.1,4978,46,4,42,8.696,0,0,0,0.0,0.0
GCA_024768155.1,4950,51,14,37,27.451,7,6,1,85.71428571428571,14.285714285714285
GCA_024768175.1,5084,47,8,39,17.021,0,0,0,0.0,0.0
GCA_024768195.1,5060,41,2,39,4.878,2,0,2,0.0,100.0
GCA_024768215.1,5055,41,1,40,2.439,2,0,2,0.0,100.0
GCA_024768235.1,5156,51,10,41,19.608,0,0,0,0.0,0.0
GCA_024768255.1,4985,53,12,41,22.642,0,0,0,0.0,0.0
GCA_024768275.1,4801,51,8,43,15.686,0,0,0,0.0,0.0
GCA_024768295.1,5150,48,10,38,20.833,0,0,0,0.0,0.0
GCA_024768315.1,4897,51,9,42,17.647,2,1,1,50.0,50.0
GCA_024768325.1,5321,55,11,44,20.0,2,1,1,50.0,50.0
GCA_024768355.1,5475,55,10,45,18.182,2,0,2,0.0,100.0
GCA_024768375.1,4947,52,13,39,25.0,0,0,0,0.0,0.0
GCA_024768395.1,5303,54,5,49,9.259,0,0,0,0.0,0.0
GCA_024768415.1,5322,56,14,42,25.0,3,1,2,33.33333333333333,66.66666666666666
GCA_024768425.1,5131,44,2,42,4.545,2,1,1,50.0,50.0
GCA_024768455.1,5302,43,0,43,0.0,0,0,0,0.0,0.0
GCA_024768475.1,5165,51,11,40,21.569,0,0,0,0.0,0.0
GCA_024768495.1,5168,51,10,41,19.608,0,0,0,0.0,0.0
GCA_024768515.1,4820,43,5,38,11.628,0,0,0,0.0,0.0
GCA_024768535.1,5012,47,8,39,17.021,0,0,0,0.0,0.0
GCA_024768555.1,5156,52,9,43,17.308,0,0,0,0.0,0.0
GCA_024768575.1,5072,51,10,41,19.608,0,0,0,0.0,0.0
GCA_024768595.1,5244,52,10,42,19.231,0,0,0,0.0,0.0
GCA_024768615.1,5189,54,11,43,20.37,2,1,1,50.0,50.0
GCA_024768625.1,5057,46,4,42,8.696,0,0,0,0.0,0.0
GCA_024768655.1,5008,43,1,42,2.326,0,0,0,0.0,0.0
GCA_024768675.1,5198,53,17,36,32.075,0,0,0,0.0,0.0
GCA_024768695.1,5171,51,9,42,17.647,0,0,0,0.0,0.0
GCA_024768715.1,5300,54,8,46,14.815,8,1,7,12.5,87.5
GCA_024768735.1,4875,53,11,42,20.755,0,0,0,0.0,0.0
GCA_024768745.1,5088,51,10,41,19.608,0,0,0,0.0,0.0
GCA_024768765.1,5221,49,9,40,18.367,0,0,0,0.0,0.0
GCA_024768775.1,5061,47,6,41,12.766,2,1,1,50.0,50.0
GCA_024768835.1,4837,41,4,37,9.756,0,0,0,0.0,0.0
GCA_024768915.1,4979,51,9,42,17.647,0,0,0,0.0,0.0
GCA_024768955.1,4821,47,4,43,8.511,0,0,0,0.0,0.0
GCA_024768965.1,5197,54,9,45,16.667,2,0,2,0.0,100.0
GCA_024768975.1,5045,52,5,47,9.615,0,0,0,0.0,0.0
