assembly_id,total_num_genes,total_num_genes_inside_mges,total_num_genes_outside_mges,percent_total_genes_in_mge,num_duplicate_genes,num_duplicate_genes_inside_mge,num_duplicate_genes_outside_mge,percent_duplicate_genes_in_mge,p_val
GCA_024768095.1,5100,1555,3545,30.49,182,128,54,70.33,3.84e-52
GCA_024768115.1,5072,1255,3817,24.74,155,115,40,74.19,5.11e-68
GCA_024768135.1,4978,1947,3031,39.11,236,138,98,58.47,5.93e-17
GCA_024768155.1,4950,3115,1835,62.93,201,181,20,90.05,2.13e-71
GCA_024768175.1,5084,1322,3762,26.0,135,65,70,48.15,5.46e-12
GCA_024768195.1,5060,1708,3352,33.75,188,140,48,74.47,9.13e-60
GCA_024768215.1,5055,1738,3317,34.38,202,149,53,73.76,4.38e-60
GCA_024768235.1,5156,1798,3358,34.87,162,137,25,84.57,9.81e-89
GCA_024768255.1,4985,1594,3391,31.98,139,108,31,77.7,1.14e-56
GCA_024768275.1,4801,1566,3235,32.62,169,93,76,55.03,2.23e-15
GCA_024768295.1,5150,2403,2747,46.66,258,172,86,66.67,1.49e-22
GCA_024768315.1,4897,2578,2319,52.64,142,100,42,70.42,7.62e-12
GCA_024768325.1,5321,2090,3231,39.28,149,101,48,67.79,7.54e-24
GCA_024768355.1,5475,1686,3789,30.79,356,265,91,74.44,6.42e-128
GCA_024768375.1,4947,1846,3101,37.32,111,87,24,78.38,2.51e-39
GCA_024768395.1,5303,1753,3550,33.06,239,155,84,64.85,3.47e-43
GCA_024768415.1,5322,1869,3453,35.12,288,197,91,68.4,3.02e-59
GCA_024768425.1,5131,1703,3428,33.19,254,140,114,55.12,1.17e-21
GCA_024768455.1,5302,3470,1832,65.45,384,286,98,74.48,1.79e-12
GCA_024768475.1,5165,1602,3563,31.02,149,116,33,77.85,3.50e-63
GCA_024768495.1,5168,1569,3599,30.36,151,115,36,76.16,7.85e-60
GCA_024768515.1,4820,2568,2252,53.28,148,110,38,74.32,7.34e-18
GCA_024768535.1,5012,2187,2825,43.64,174,136,38,78.16,2.20e-47
GCA_024768555.1,5156,1278,3878,24.79,190,130,60,68.42,1.04e-62
GCA_024768575.1,5072,1345,3727,26.52,202,135,67,66.83,7.17e-57
GCA_024768595.1,5244,1840,3404,35.09,266,208,58,78.2,2.74e-100
GCA_024768615.1,5189,2273,2916,43.8,189,129,60,68.25,8.82e-24
GCA_024768625.1,5057,1934,3123,38.24,254,137,117,53.94,4.92e-12
GCA_024768655.1,5008,762,4246,15.22,91,45,46,49.45,1.94e-19
GCA_024768675.1,5198,1534,3664,29.51,209,114,95,54.55,1.12e-22
GCA_024768695.1,5171,1842,3329,35.62,165,142,23,86.06,8.57e-97
GCA_024768715.1,5300,1707,3593,32.21,240,138,102,57.5,6.59e-27
GCA_024768735.1,4875,1594,3281,32.7,141,108,33,76.6,8.86e-53
GCA_024768745.1,5088,1783,3305,35.04,313,238,75,76.04,1.25e-104
GCA_024768765.1,5221,1923,3298,36.83,239,143,96,59.83,3.71e-23
GCA_024768775.1,5061,1957,3104,38.67,251,138,113,54.98,5.86e-13
GCA_024768835.1,4837,1181,3656,24.42,109,47,62,43.12,1.81e-07
GCA_024768915.1,4979,1294,3685,25.99,130,105,25,80.77,4.60e-75
GCA_024768955.1,4821,2528,2293,52.44,148,116,32,78.38,1.76e-27
GCA_024768965.1,5197,1582,3615,30.44,261,200,61,76.63,3.32e-106
GCA_024768975.1,5045,1403,3642,27.81,207,161,46,77.78,1.46e-97
